divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
Newton Coed,0.0,-2.0,Summer,25849,Torch (25),Hat,2008,-120.0
Newton Coed,0.0,4.42857142857,Summer,25850,Bluejing Disc (26),Hat,2008,265.714285714
Newton Coed,0.0,-0.857142857143,Summer,25851,Frisnastics (27),Hat,2008,-51.4285714286
Newton Coed,0.0,1.14285714286,Summer,25852,Great Stall of China (28),Hat,2008,68.5714285716
Newton Coed,0.0,-3.42857142857,Summer,25853,Tancakes (29),Hat,2008,-205.714285714
Newton Coed,0.0,0.714285714286,Summer,25854,Black Gold (30),Hat,2008,42.8571428572
JP Mixed (4/3),0.0,0.571428571429,Spring,24355,DiscThrow Inferno (1),Hat,2008,34.2857142857
JP Mixed (4/3),0.0,-0.666666666667,Spring,24356,Ballz (2),Hat,2008,-40.0
JP Mixed (4/3),0.0,6.33333333333,Spring,24357,Breakmark Boogie (3),Hat,2008,380.0
JP Mixed (4/3),0.0,2.0,Spring,24358,Disco Blue is Ready to Boogaloo (4),Hat,2008,120.0
JP Mixed (4/3),0.0,2.0,Spring,24359,Green Disco Machine (5),Hat,2008,120.0
JP Mixed (4/3),0.0,-5.85714285714,Spring,24360,Bluegie Nights (6),Hat,2008,-351.428571428
JP Mixed (4/3),0.0,2.8,Spring,24361,Stayin' ALime (7),Hat,2008,168.0
JP Mixed (4/3),0.0,0.857142857143,Spring,24362,Ultimate Deeeelite (8),Hat,2008,51.4285714286
JP Mixed (4/3),0.0,0.166666666667,Spring,24363,Dancin' in the Lane (9),Hat,2008,10.0
JP Mixed (4/3),0.0,1.83333333333,Spring,24364,That's The Way We Huck It (10),Hat,2008,110.0
JP Mixed (4/3),0.0,-6.0,Spring,24365,DiscHo Pimps (11),Hat,2008,-360.0
JP Mixed (4/3),0.0,-2.16666666667,Spring,24366,John Travelta (12),Hat,2008,-130.0
JP Mixed (4/3),0.0,0.714285714286,Spring,24367,Disco Poo (13),Hat,2008,42.8571428572
JP Mixed (4/3),0.0,-4.66666666667,Spring,24368,Disc Diggler (14),Hat,2008,-280.0
JP Mixed (4/3),0.0,0.0,Spring,24369,Love Hangover (15),Hat,2008,0.0
JP Mixed (4/3),0.0,-0.8,Spring,24370,Huckadelic (16),Hat,2008,-48.0
JP Mixed (4/3),0.0,-4.71428571429,Spring,24371,FrisBeeGees (17),Hat,2008,-282.857142857
JP Mixed (4/3),0.0,-0.285714285714,Spring,24372,Fake Your Booty! (18),Hat,2008,-17.1428571428
JP Mixed (4/3),0.0,4.83333333333,Spring,24373,Wednesday Night Fever (19),Hat,2008,290.0
JP Mixed (4/3),0.0,5.5,Spring,24374,Purple Polyester (20),Hat,2008,330.0
JP Mixed (4/3),0.0,3.83333333333,Spring,24375,Laying Alive (21),Hat,2008,230.0
JP Mixed (4/3),0.0,2.0,Spring,24376,Late Nights White Lines (22),Hat,2008,120.0
JP Mixed (4/3),0.0,-7.0,Spring,24377,The Hustle (23),Hat,2008,-420.0
JP Mixed (4/3),0.0,0.833333333333,Spring,24378,GoldMember (24),Hat,2008,50.0
Waltham Coed,0.0,-0.142857142857,Spring,24379,Saturday Night Yellow Fever (25),Hat,2008,-8.57142857142
Waltham Coed,0.0,-2.71428571429,Spring,24380,Disco Balls to the Wall (26),Hat,2008,-162.857142857
Waltham Coed,0.0,7.28571428571,Spring,24381,Rick James (27),Hat,2008,437.142857143
Waltham Coed,0.0,1.28571428571,Spring,24382,Disco Demolition (28),Hat,2008,77.1428571426
Waltham Coed,0.0,2.66666666667,Spring,24383,DiscoTechs (29),Hat,2008,160.0
Waltham Coed,0.0,-1.71428571429,Spring,24384,Leisure Suit Discfunction (30),Hat,2008,-102.857142857
Waltham Coed,0.0,-4.71428571429,Spring,24385,Swillage People (31),Hat,2008,-282.857142857
Waltham Coed,0.0,-1.14285714286,Spring,24386,Huggy Bear's Disciples (32),Hat,2008,-68.5714285716
Waltham Coed,0.0,-1.14285714286,Spring,24387,Disco Stu (33),Hat,2008,-68.5714285716
Waltham Coed,0.0,-1.57142857143,Spring,24388,Saturday Night Hammer (34),Hat,2008,-94.2857142858
Waltham Coed,0.0,-6.16666666667,Spring,24389,Sunday Afternoon Fever (35),Hat,2008,-370.0
Waltham Coed,0.0,0.857142857143,Spring,24390,Turn the Disc Around (36),Hat,2008,51.4285714286
Waltham Coed,0.0,2.85714285714,Spring,24391,Disc o' Destruction (37),Hat,2008,171.428571428
Waltham Coed,0.0,3.85714285714,Spring,24392,Staying Alime (38),Hat,2008,231.428571428
0.0,0.0,-7.8,Winter,23860,Stall Count Dracula (1),Hat,2008,-468.0
0.0,0.0,-3.0,Winter,23861,Driller Killers (2),Hat,2008,-180.0
0.0,0.0,-6.0,Winter,23862,Skying of the Lambs (3),Hat,2008,-360.0
0.0,0.0,4.55555555556,Winter,23863,Texas Breakside Massacre (4),Hat,2008,273.333333334
